vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,engine_hours,active_driver,driver_ids
566305825849643008,1785128965000-642689989225816064-566305825849643008,1785128965000,1785143585000,1,194.868,40.603,4.799349801738788,642689989225816064,1785128965000,566305825849643008,MP09AF2745,14620000,1785143585000,107.19124415536764,40.602743998245316,,31.56215228422993,1785128965000-642689989225816064-566305825849643008,194.868,4.799380061811128,2.4068402777777833,,
1326601969871093760,1785147203000-642689989225816064-1326601969871093760,1785147203000,1785162604000,1,194.607,60.901,3.1954647706934205,642689989225816064,1785147203000,1326601969871093760,MP09BN3893,15401000,1785162604000,160.77960709372604,60.90136632338107,193.10000000000582,60.90136632338107,1785147203000-642689989225816064-1326601969871093760,194.607,3.195445549885587,4.236388888888769,,
1557834963942899712,1785131351000-642689989225816064-1557834963942899712,1785131351000,1785145540000,1,194.607,65.149,2.9871064789943054,642689989225816064,1785131351000,1557834963942899712,MP09BQ8912,14189000,1785145540000,171.9927835672453,65.14878165425958,192.38000000000466,65.14878165425958,1785131351000-642689989225816064-1557834963942899712,194.607,2.9871164902632703,3.898333333333312,,
1537194706461523968,1785149092000-642689989225816064-1537194706461523968,1785149092000,1785165149000,1,194.586,65.704,2.9615548520638018,642689989225816064,1785149092000,1537194706461523968,MP09BN3822,16057000,1785165149000,173.45732130689143,65.70353079806493,192.93000000000757,65.70353079806493,1785149092000-642689989225816064-1537194706461523968,194.586,2.961576001113944,4.404999999999973,,
1326601875818020864,1785145473000-642689989225816064-1326601875818020864,1785145473000,1785161403000,1,194.54,65.65,2.963290175171363,642689989225816064,1785145473000,1326601875818020864,MP09BN1094,15930000,1785161403000,173.31673037415229,65.65027665687586,193.0899999999965,65.65027665687586,1785145473000-642689989225816064-1326601875818020864,194.54,2.9632776875682048,4.396111111111168,,
1533070725588451328,1785132848000-642689989225816064-1533070725588451328,1785132848000,1785148101000,1,194.518,66.644,2.918762379208931,642689989225816064,1785132848000,1533070725588451328,MP09BQ7645,15253000,1785148101000,175.94014157636167,66.64399302134912,192.48500000000058,66.64399302134912,1785132848000-642689989225816064-1533070725588451328,194.518,2.918762684848235,4.18777777777791,,
1326601811460620288,1785136825000-642689989225816064-1326601811460620288,1785136825000,1785151058000,1,194.501,68.104,2.855940913896394,642689989225816064,1785136825000,1326601811460620288,MP09AE9054,14233000,1785151058000,179.79341308369055,68.103565562004,192.55999999999767,68.103565562004,1785136825000-642689989225816064-1326601811460620288,194.501,2.855959132167891,3.9255555555555475,,
1533070673256120320,1785140112000-642689989225816064-1533070673256120320,1785140112000,1785154711000,1,194.471,61.036,3.1861688184022543,642689989225816064,1785140112000,1533070673256120320,MP09BQ7694,14599000,1785154711000,161.13463587251965,61.035846921408954,,61.035846921408954,1785140112000-642689989225816064-1533070673256120320,194.471,3.186176809349512,4.004722222222199,,
1326601999923281920,1785142925000-642689989225816064-1326601999923281920,1785142925000,1785157781000,1,194.455,66.946,2.9046544976548265,642689989225816064,1785142925000,1326601999923281920,MP09DZ9027,14856000,1785157781000,176.73860506328148,66.94644131184904,191.8399999999674,66.94644131184904,1785142925000-642689989225816064-1326601999923281920,194.455,2.9046353501329856,4.086111111111677,,
1537213879656906752,1785152759000-642689989225816064-1537213879656906752,1785152759000,1785168366000,1,194.453,62.003,3.136186958695547,642689989225816064,1785152759000,1537213879656906752,MP09BN1073,15607000,1785168366000,163.68700632115437,62.00265390952817,192.69000000000233,62.00265390952817,1785152759000-642689989225816064-1537213879656906752,194.453,3.1362044644691847,4.2802777777776555,,
